Modo,decil_renda,RM,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,7,Salvador,0.003357958361,5.882799882,1.93792558,1.698635455,24.4706253,14.13565881,12.39022358,1542.451567,681.5348017,597.3806164,1489,5
Aplicativo,7,Sao Paulo,0.009402283412,5.877262947,5.953677514,3.118669698,65.70934016,120.8384539,63.29789004,2646.175777,5171.173682,2708.776656,1489,14
Aplicativo,7,Vitoria,0.004701141706,4.333333333,0,0,13.20573446,5.877300158,4.353884886,686.6981918,305.6196082,226.4020141,1489,7
Aplicativo,7,Zona Rural,0.002686366689,5.743264,3.403429643,3.335299765,15.39301859,6.93432525,6.795513879,968.1074472,549.9250464,538.916643,1489,4
Aplicativo,8,Belo Horizonte,0.01007387508,6.725680384,7.070469178,3.578085345,36.24436055,51.77198739,26.19975913,1504.579964,1680.969779,850.6724494,1489,15
Aplicativo,8,Brasil Urbano,0.03559435863,6.78218427,6.591478521,1.774569438,22.36552478,75.09222497,20.21646085,1237.926376,1260.869233,339.4534322,1489,53
Aplicativo,8,Brasilia,0.006715916723,2.797996983,2.065591118,1.280243115,76.94335662,86.87185405,53.84274363,1111.268954,695.9096657,431.3213541,1489,10
Aplicativo,8,Campo Grande,0.002686366689,5.206987544,2.166666667,2.123294318,13.24912834,7.854062112,7.696839443,765.0674284,351.4911206,344.4549689,1489,4
Aplicativo,8,Cuiaba,0.002686366689,7.374771387,5.46622627,5.356803314,14.39695256,11.60253256,11.37027298,1256.80923,1237.658259,1212.882807,1489,4
Aplicativo,8,Curitiba,0.001343183345,13.48853975,18.14907405,25.15287116,28.12781141,26.20184178,36.31323275,1701.397076,2087.237797,2892.710847,1489,2
Aplicativo,8,Florianopolis,0.001343183345,4.498837144,0.2357022604,0.3266606644,46.54075326,32.58348048,45.15757024,2068.946564,2194.463469,3041.315317,1489,2
Aplicativo,8,Fortaleza,0.003357958361,5.64364697,2.373464416,2.080395061,14.79565717,7.375945363,6.465182374,1026.649631,742.5970145,650.9030223,1489,5
Aplicativo,8,Goiania,0.003357958361,9.819871662,9.310686811,8.161026864,65.70961772,124.9281164,109.50231,2051.723787,2079.359139,1822.605157,1489,5
Aplicativo,8,Maceio,0.003357958361,2.821007557,1.788854382,1.567971189,51.8239908,24.10542097,21.12894484,1580.565889,1532.458435,1343.234362,1489,5
Aplicativo,8,Manaus,0.004029550034,9.203828285,6.378493959,5.590893735,15.296613,7.600059221,6.661623223,1799.793678,2253.317213,1975.08333,1489,6
Aplicativo,8,Porto Alegre,0.007387508395,6.42063439,5.567764363,3.450872696,58.43421096,170.8494112,105.8916164,1560.192795,1179.737584,731.1954947,1489,11
Aplicativo,8,Recife,0.008059100067,4.169659323,2.12469051,1.202134736,20.22483456,11.76777324,6.658122163,1011.29507,824.1777038,466.3138663,1489,12
Aplicativo,8,Rio de Janeiro,0.01141705843,4.802432329,4.019255126,1.910597499,64.65620869,94.8935575,45.10870497,1869.28209,1403.619299,667.2260007,1489,17
Aplicativo,8,Salvador,0.008730691739,7.224336958,4.154769339,2.350738858,25.60375578,18.00827811,10.18895531,1784.968384,1182.70391,669.1654367,1489,13
Aplicativo,8,Sao Luis,0.002014775017,12.66656034,16.28905563,22.57506451,33.91332327,50.84996737,70.4731643,1869.079022,2366.097986,3279.18425,1489,3
Aplicativo,8,Sao Paulo,0.01007387508,9.426156791,8.547904227,4.325756902,31.81497806,32.30809311,16.34985057,2380.90373,2685.279964,1358.914189,1489,15
Aplicativo,8,Vitoria,0.001343183345,19.78720005,15.32064693,21.23294318,16.75403209,5.454318664,7.559161102,4479.214377,4337.704123,6011.640738,1489,2
Aplicativo,8,Zona Rural,0.003357958361,4.431623611,1.831817555,1.605629379,28.43297637,60.75319843,53.25154788,1210.524483,477.0029216,418.103813,1489,5
