"","Modo","decil_renda","RM","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"292","Táxi","9","São Paulo",0.00239856086348191,6.25055331333916,4.29028736293569,801.798715543063,1417.29277546981,5695.85414782798,5210.81999881715
"293","Táxi","9","Vitória",0.000999400359784129,4.7254005994281,1.90613046073277,22.5539747813505,68.1813757561403,858.91086589379,1064.21952622567
"294","Táxi","9","Zona Rural",0.0165900459724166,2.82131076778575,4.11333783090372,61.4058265581101,99.2379591058879,849.046776251121,1359.56650545659
"295","Táxi","10","Belo Horizonte",0.00439736158305017,5.0639055209896,5.37832752130315,87.552577021189,112.169687467926,2385.91706742622,4262.82773389273
"296","Táxi","10","Brasil Urbano",0.0391764941035379,4.17268279654993,5.88340771214638,92.2253839929086,138.94104351216,1585.86249789876,3523.80380259545
"297","Táxi","10","Brasília",0.00259844093543874,2.77697741977888,2.77504138723276,215.696071504445,215.213123659298,2184.73683769444,2202.82745725602
"298","Táxi","10","Campo Grande",0.000799520287827304,2.28100430825655,2.3094010767585,61.7811650753526,65.0615093584525,527.589280690353,188.340117871897
"299","Táxi","10","Curitiba",0.000799520287827304,1.56503415598987,2,129.589808968877,84.5676652154947,704.592400261175,86.1264187111017
"300","Táxi","10","Fortaleza",0.00179892064761143,1.50296559758407,2,128.367327050599,95.4266734199616,894.859671176921,928.2779756086
"301","Táxi","10","Goiânia",0.000399760143913652,0.333333333333333,0,150,0,600,0
"302","Táxi","10","Maceió",0.000599640215870478,2.74825707686796,4.81125224324688,61.1656249089244,74.1440040281973,1229.95138699783,1874.87528474118
"303","Táxi","10","Manaus",0.00299820107935239,3.0246515968036,2.79019447085417,89.2468114880056,104.853935593872,715.060568744643,457.540235857538
"304","Táxi","10","Porto Alegre",0.00299820107935239,7.17675530897089,6.21552928018236,78.7387749014421,129.711102507675,2263.58272427711,1415.87752873649
"305","Táxi","10","Recife",0.00359784129522287,5.47717542142408,5.27569618392939,70.5550804864996,122.211657965454,1880.60875126524,1828.61657606476
"306","Táxi","10","Rio de Janeiro",0.0129922046771937,6.86976462407034,6.03490116333996,69.3042424692172,91.5681333653568,2823.02317818971,2903.94068945552
"307","Táxi","10","Salvador",0.00259844093543874,3.50035414519933,3.42813896336434,78.8321696921402,97.7552543016985,1597.41405999521,1783.93434396834
"308","Táxi","10","São Luís",0.00119928043174096,3.69776636294042,1.66555518493807,70.996327847246,113.958069774223,1026.55914014047,420.692128125387
"309","Táxi","10","São Paulo",0.00519688187087747,7.1966733289447,6.08728533379558,63.1419729280042,143.258560224893,2302.12655308878,1592.56259376119
"310","Táxi","10","Vitória",0.000799520287827304,4.30674790843314,3.40342964277702,86.8859093412951,83.0270074032139,1757.1423119828,1118.84670829684
"311","Táxi","10","Zona Rural",0.00979412352588447,2.58415125220622,2.80664703404189,70.4612793470451,89.4543486793537,773.458170638633,1325.48871471086
"312","Transporte Privado","1","Belém",0.000677506775067751,4.03132218732263,3.40196021924615,92.2143873945572,91.6962882404917,1674.46058157368,1352.60442482001
"313","Transporte Privado","1","Belo Horizonte",0.00121951219512195,5.62954412330118,4.93968105587621,143.335130673691,186.96368302537,2769.94883588567,3431.51313609491
"314","Transporte Privado","1","Brasil Urbano",0.0467750677506775,4.75204766538973,4.3886587437574,141.314600701382,381.443323704346,2468.54523646592,3705.11846657735
"315","Transporte Privado","1","Brasília",0.00157181571815718,5.91873331020069,5.97559791015208,198.447523988772,687.159416389038,4543.59747326407,6770.73837723069
"316","Transporte Privado","1","Campo Grande",0.000623306233062331,6.75147716060297,6.91049496863014,174.048527469259,278.384084501865,3705.16439436064,3939.20751765818
"317","Transporte Privado","1","Cuiabá",0.000677506775067751,4.88187286526927,3.83801646301451,170.623294283555,245.480334450682,3379.49901535236,3271.328700976
"318","Transporte Privado","1","Curitiba",0.00040650406504065,5.71051202266697,3.91875155586748,273.368633174382,238.478535497854,6205.43680761843,5071.54997563392
"319","Transporte Privado","1","Florianópolis",0.00046070460704607,4.67994791492963,4.34923552744647,202.820574194473,308.450473883524,3129.92638087886,2736.94466496966
"320","Transporte Privado","1","Fortaleza",0.00116531165311653,4.41800936982672,3.618241249949,72.9347790243166,73.8382718899805,2074.48774839213,2505.56581568091
"321","Transporte Privado","1","Goiânia",0.000596205962059621,5.69734491497074,6.61887632529297,128.973369959119,142.779548360961,2374.14665374574,2729.03173476049
"322","Transporte Privado","1","Maceió",0.00040650406504065,4.31951510287126,2.94356081380193,57.0605018463625,51.5797905768566,1680.94611426823,1127.6172343959
"323","Transporte Privado","1","Manaus",0.000867208672086721,3.67832066472015,2.84233232515042,101.511823293506,140.545688391038,1686.01375671152,1553.77513125395
"324","Transporte Privado","1","Porto Alegre",0.000948509485094851,4.28664021867773,2.77234576254072,126.860415660154,106.229468248248,3690.84931773592,2692.24685033364
"325","Transporte Privado","1","Recife",0.000542005420054201,5.00370550450156,3.77418129459151,125.660178826138,314.88401319644,2323.76871567973,2745.10925624694
"326","Transporte Privado","1","Rio de Janeiro",0.00102981029810298,4.13129718012459,3.77454561013429,135.20874497532,237.069145488031,2652.29117619159,3108.24444561376
"327","Transporte Privado","1","Salvador",0.000677506775067751,6.35952021835995,5.87297640484379,51.0122691828882,85.8780233048966,2296.06158168426,3065.55640641673
"328","Transporte Privado","1","São Luís",0.00040650406504065,6.35372013450484,7.3305911178817,97.538465287486,102.567059080604,2938.0588967035,4977.80274179568
"329","Transporte Privado","1","São Paulo",0.0018970189701897,4.60835599153464,5.32781805926233,186.920369174843,251.283502446811,3141.75108245952,2614.16859627259
"330","Transporte Privado","1","Vitória",0.000948509485094851,3.3115065477415,2.19680610193218,149.48566384047,226.232642300651,2126.40367042553,1994.06778396659
"331","Transporte Privado","1","Zona Rural",0.0173441734417344,4.4177142138928,4.03043204863894,66.9107621320038,161.705132560668,1383.72483389095,1792.83633600979
"332","Transporte Privado","2","Belém",0.000542005420054201,4.6459946485745,5.01856203630888,81.0460641603298,74.3338162603896,1659.04158759213,2391.9530598774
"333","Transporte Privado","2","Belo Horizonte",0.00105691056910569,5.09630449829821,7.29433872382574,118.069172115101,134.486601689389,3048.65417544204,3058.00950841928
"334","Transporte Privado","2","Brasil Urbano",0.0426016260162602,4.62840269995791,4.03416744243331,136.025478006387,234.03746820333,2697.15644089756,3002.24865644625
"335","Transporte Privado","2","Brasília",0.00157181571815718,5.06919433835047,4.83368969071045,297.213885532449,691.561105558665,7025.93404621746,17689.901502593
"336","Transporte Privado","2","Campo Grande",0.0010840108401084,5.73116614599852,5.19417134434512,75.6600621586632,80.4448186614306,2841.913081393,2416.74935672416
"337","Transporte Privado","2","Cuiabá",0.00046070460704607,9.16676453599251,8.10626925947994,123.852411657531,191.772757319752,5829.86169431129,5831.97230968977
"338","Transporte Privado","2","Curitiba",0.00111111111111111,3.68543089211337,3.69176553850971,223.239447710798,313.090720983074,4358.06679651246,3870.10573239594
"339","Transporte Privado","2","Florianópolis",0.00040650406504065,3.59106050226539,2.44948974278318,140.304371782124,194.278300060825,2321.41982044642,1306.33068190402
"340","Transporte Privado","2","Fortaleza",0.00100271002710027,5.43031365134175,4.40574366525228,143.042609911978,198.579891383103,3114.55997662476,2598.79197512929
"341","Transporte Privado","2","Goiânia",0.000785907859078591,5.28232783383622,3.43689693421238,108.64611891949,127.017094229055,3561.14223079361,3723.53423257457
"342","Transporte Privado","2","Maceió",0.000514905149051491,3.71438444507309,1.8969555993246,98.900665789377,110.897800903903,2178.34248645946,1813.19682639958
"343","Transporte Privado","2","Manaus",0.00127371273712737,4.54469618634949,5.02132363295048,110.122970730637,139.789624253616,2579.57960837679,2760.09361668926
"344","Transporte Privado","2","Porto Alegre",0.0010840108401084,4.10140352198313,2.33258535019716,180.692999391281,194.756494666966,3849.59485101159,2860.00442082481
"345","Transporte Privado","2","Recife",0.0010840108401084,4.69211105942933,6.26566981524068,132.608667942513,174.095385776978,2576.1195909289,3249.23899218011
"346","Transporte Privado","2","Rio de Janeiro",0.00138211382113821,5.99987559131985,7.08263702844417,203.693328661385,347.917374004973,4121.43942000723,4209.48784926481
"347","Transporte Privado","2","Salvador",0.000569105691056911,4.9555194692445,6.33976281832314,96.8319545221154,283.544810474075,2661.6528288403,4831.23312415095
"348","Transporte Privado","2","São Luís",0.00040650406504065,6.64256456472643,7.43059597971499,65.8347068123737,60.0499038573192,2534.06520144854,2376.50872423994
"349","Transporte Privado","2","São Paulo",0.0013550135501355,4.49504079006854,3.06475095443307,155.144431505301,202.105158751126,3735.3803814093,2772.77504915891
"350","Transporte Privado","2","Vitória",0.00116531165311653,4.04356228666853,4.1018322351716,163.771574698101,188.948111261627,2679.41040030595,2322.29505105377
"351","Transporte Privado","2","Zona Rural",0.0184823848238482,4.34538152943141,3.89479798838376,91.7194143455188,230.485790419579,1642.45585117651,2217.33548421993
"352","Transporte Privado","3","Belém",0.000596205962059621,3.20182356999245,2.48869497801613,157.408555658089,216.602632413019,2354.30310790094,2484.70972675976
