ESTRATO_POF,pos_estrato,tot_pop,uf,COD_UPA
1302,131,2128341,13,130073402
1303,131,2128341,13,130075147
1307,132,355532,13,130005904
1307,132,355532,13,130007374
1307,132,355532,13,130011171
1307,132,355532,13,130012391
1307,132,355532,13,130013569
1307,132,355532,13,130022974
1307,132,355532,13,130029081
1312,132,355532,13,130032865
1312,132,355532,13,130042125
1312,132,355532,13,130042835
1307,132,355532,13,130043657
1307,132,355532,13,130045422
1307,132,355532,13,130053512
1312,132,355532,13,130056912
1312,132,355532,13,130058240
1310,133,1409456,13,130001516
1310,133,1409456,13,130001615
1315,133,1409456,13,130002482
1309,133,1409456,13,130006525
1316,133,1409456,13,130007641
1310,133,1409456,13,130008898
1314,133,1409456,13,130008949
1310,133,1409456,13,130011054
1308,133,1409456,13,130012249
1313,133,1409456,13,130012364
1309,133,1409456,13,130014569
1309,133,1409456,13,130014766
1310,133,1409456,13,130015569
1313,133,1409456,13,130015606
1309,133,1409456,13,130015708
1316,133,1409456,13,130015882
1315,133,1409456,13,130016987
1308,133,1409456,13,130017335
1313,133,1409456,13,130017630
1309,133,1409456,13,130021204
1308,133,1409456,13,130021700
